,Dense W,Sparse W,Recall@1,Recall@2,Recall@3,Recall@4,Recall@5,MRR
0,0.1,0.9,0.7156,0.8293,0.9012,0.9371,0.9461,0.8072
1,0.2,0.8,0.7216,0.8383,0.9102,0.9341,0.9521,0.8135
2,0.3,0.7,0.7216,0.8533,0.9162,0.9431,0.9521,0.8169
3,0.4,0.6,0.7305,0.8503,0.9162,0.9461,0.9581,0.8223
4,0.5,0.5,0.7156,0.8323,0.9102,0.9461,0.9521,0.8101
5,0.6,0.4,0.6647,0.8114,0.8952,0.9371,0.9551,0.78
6,0.7,0.3,0.6467,0.7994,0.8623,0.9192,0.9431,0.763
7,0.8,0.2,0.6287,0.7814,0.8563,0.9012,0.9311,0.7473
8,0.9,0.1,0.6228,0.7635,0.8293,0.8952,0.9192,0.7363
